Daily New Cases,Positivity Rate
35,0.021254643
14,0.020922986
72,0.01810092
23,0.015065486
60,0.014576252
154,0.015587859
82,0.016352622
200,0.017459714
189,0.02039672
254,0.020052728
478,0.023558725
392,0.02140259
555,0.026177748
585,0.030861741
498,0.033573637
699,0.037612501
1106,0.045149893
1125,0.047936832
1281,0.049979463
1692,0.05404771
1340,0.05606436
1347,0.058253973
1569,0.061758722
1046,0.063619603
1337,0.066328176
1296,0.069247394
1379,0.071757107
1244,0.07382396
1307,0.074633267
1219,0.075143458
1634,0.076447911
1626,0.077972479
1660,0.078903837
1482,0.083432142
1668,0.083682562
1565,0.083955841
1743,0.083513928
1669,0.083324759
1697,0.082752743
1563,0.081117625
1432,0.080014537
1619,0.07904185
1676,0.078095339
1764,0.077667725
1655,0.076918631
1833,0.076179052
1474,0.074916648
1160,0.075345537
1560,0.073799985
1357,0.072820354
1603,0.07264417
1443,0.071973863
1339,0.071163524
1160,0.070006091
1091,0.068615628
1150,0.067456974
1197,0.066804554
1224,0.066354827
1121,0.065577793
1263,0.064554337
1180,0.063570219
1121,0.062540051
1041,0.061652565
1150,0.061314774
1305,0.061211752
1162,0.061123851
1164,0.06071304
1009,0.060179211
926,0.059613682
948,0.059017583
805,0.058624651
878,0.058303788
839,0.057705322
835,0.056854663
751,0.055912261
683,0.054948985
842,0.054148864
661,0.053569928
667,0.053053157
625,0.052353523
666,0.051508452
548,0.050727666
667,0.04989229
521,0.049198563
489,0.048661682
495,0.048233715
449,0.047510763
430,0.046707895
411,0.045841538
327,0.045021035
369,0.044326981
366,0.043734465
408,0.043207665
401,0.042556679
403,0.041892966
419,0.041192246
305,0.040526565
356,0.039946893
394,0.039497441
356,0.039131844
324,0.038660873
251,0.038049459
337,0.037461087
373,0.036823815
384,0.036441474
297,0.035999858
197,0.035514143
357,0.035164933
320,0.034752766
213,0.03435781
187,0.033994005
415,0.033682193
255,0.033414662
329,0.033176366
315,0.032861263
340,0.032472965
176,0.032026775
159,0.031595414
673,0.031285254
387,0.031016817
361,0.03080566
447,0.030519647
470,0.030171135
346,0.029782892
255,0.029395192
505,0.028996196
349,0.028793315
658,0.028517157
714,0.028243798
346,0.027900483
297,0.027567078
626,0.027363083
361,0.027138777
487,0.026968354
415,0.02670797
557,0.026445917
226,0.026138462
196,0.025806942
226,0.025494717
713,0.025409481
344,0.025264705
313,0.025097922
536,0.024886985
233,0.024633456
212,0.024383811
630,0.024227146
345,0.024056867
309,0.023930353
471,0.023748904
413,0.023540025
206,0.023295487
156,0.023043079
209,0.02295843
333,0.022656334
236,0.022490684
707,0.02233518
209,0.022125755
259,0.021933339
345,0.021748818
461,0.021664315
467,0.021531351
547,0.021386905
329,0.021203642
247,0.021011964
536,0.020868968
571,0.020786809
626,0.020684751
615,0.020581233
390,0.020418231
368,0.020262582
380,0.02009642
450,0.020084992
539,0.019779602
513,0.01961754
624,0.01917991
737,0.039003544
580,0.039018786
510,0.038861878
718,0.038820605
716,0.03876438
622,0.038709443
533,0.038682818
398,0.038690197
565,0.038542814
552,0.038491866
151,0.038439119
342,0.038349841
282,0.038359776
290,0.038236834
551,0.038187737
592,0.038134993
555,0.038089763
317,0.038050582
262,0.038058475
526,0.037942541
342,0.037839953
340,0.037800502
378,0.037745943
380,0.037688303
310,0.037651815
303,0.037660982
638,0.037559441
313,0.037528571
517,0.037492834
398,0.037448674
594,0.037409168
325,0.037387373
267,0.037401053
537,0.037276385
436,0.037147282
360,0.037128502
215,0.03710845
585,0.037004969
582,0.037046835
744,0.036968498
